"ico","year","Class of revenue","Revenue_CZK"
"00075370","2007/12","Daňové příjmy",3506289910
"00075370","2007/12","Kapitálové příjmy",254559860
"00075370","2007/12","Nedaňové příjmy",802475750
"00081531","2007/12","Daňové příjmy",1197814220
"00081531","2007/12","Kapitálové příjmy",5121600
"00081531","2007/12","Nedaňové příjmy",69915260
"00231401","2007/12","Daňové příjmy",193413950
"00231401","2007/12","Kapitálové příjmy",8194420
"00231401","2007/12","Nedaňové příjmy",128981260
"00232947","2007/12","Daňové příjmy",115317820
"00232947","2007/12","Kapitálové příjmy",979470
"00232947","2007/12","Nedaňové příjmy",44410530
"00232963","2007/12","Daňové příjmy",49519360
"00232963","2007/12","Kapitálové příjmy",9890620
"00232963","2007/12","Nedaňové příjmy",21964770
"00233129","2007/12","Daňové příjmy",212261560
"00233129","2007/12","Kapitálové příjmy",111723180
"00233129","2007/12","Nedaňové příjmy",22081170
"00233242","2007/12","Daňové příjmy",77220570
"00233242","2007/12","Kapitálové příjmy",4990040
"00233242","2007/12","Nedaňové příjmy",5241580
"00234516","2007/12","Daňové příjmy",805503650
"00234516","2007/12","Kapitálové příjmy",78379390
"00234516","2007/12","Nedaňové příjmy",161256650
"00234877","2007/12","Daňové příjmy",163112110
"00234877","2007/12","Kapitálové příjmy",36305610
"00234877","2007/12","Nedaňové příjmy",10385480
"00235334","2007/12","Daňové příjmy",66841340
"00235334","2007/12","Kapitálové příjmy",1595000
"00235334","2007/12","Nedaňové příjmy",3557470
"00235440","2007/12","Daňové příjmy",352533080
"00235440","2007/12","Kapitálové příjmy",143560040
"00235440","2007/12","Nedaňové příjmy",179027920
"00236021","2007/12","Daňové příjmy",128777040
"00236021","2007/12","Kapitálové příjmy",22510000
"00236021","2007/12","Nedaňové příjmy",41968810
"00236195","2007/12","Daňové příjmy",233108850
"00236195","2007/12","Kapitálové příjmy",74901450
"00236195","2007/12","Nedaňové příjmy",85945560
"00236977","2007/12","Daňové příjmy",180391930
"00236977","2007/12","Nedaňové příjmy",31539840
"00237051","2007/12","Daňové příjmy",201920580
"00237051","2007/12","Kapitálové příjmy",9565230
"00237051","2007/12","Nedaňové příjmy",25159000
"00237108","2007/12","Daňové příjmy",163605950
"00237108","2007/12","Kapitálové příjmy",2383200
"00237108","2007/12","Nedaňové příjmy",9031720
"00238295","2007/12","Daňové příjmy",566591700
"00238295","2007/12","Kapitálové příjmy",85873440
"00238295","2007/12","Nedaňové příjmy",34054270
"00238309","2007/12","Daňové příjmy",79640890
"00238309","2007/12","Kapitálové příjmy",2171800
"00238309","2007/12","Nedaňové příjmy",4108470
"00239402","2007/12","Daňové příjmy",80025020
"00239402","2007/12","Kapitálové příjmy",11087160
"00239402","2007/12","Nedaňové příjmy",6763640
"00239500","2007/12","Daňové příjmy",157978810
"00239500","2007/12","Kapitálové příjmy",27683300
"00239500","2007/12","Nedaňové příjmy",28252580
"00239640","2007/12","Daňové příjmy",150120900
"00239640","2007/12","Kapitálové příjmy",3367420
"00239640","2007/12","Nedaňové příjmy",17230380
"00240079","2007/12","Daňové příjmy",181145670
"00240079","2007/12","Kapitálové příjmy",8374590
"00240079","2007/12","Nedaňové příjmy",53772380
"00240702","2007/12","Daňové příjmy",149734270
"00240702","2007/12","Kapitálové příjmy",10130500
"00240702","2007/12","Nedaňové příjmy",44631440
"00241121","2007/12","Daňové příjmy",102425020
"00241121","2007/12","Kapitálové příjmy",14049830
"00241121","2007/12","Nedaňové příjmy",28473320
"00242098","2007/12","Daňové příjmy",81534240
"00242098","2007/12","Kapitálové příjmy",30638470
"00242098","2007/12","Nedaňové příjmy",13273050
"00243132","2007/12","Daňové příjmy",383607170
"00243132","2007/12","Kapitálové příjmy",51601190
"00243132","2007/12","Nedaňové příjmy",93929130
"00243272","2007/12","Daňové příjmy",73896790
"00243272","2007/12","Kapitálové příjmy",2600840
"00243272","2007/12","Nedaňové příjmy",36486540
"00244309","2007/12","Daňové příjmy",175957090
"00244309","2007/12","Kapitálové příjmy",34779640
"00244309","2007/12","Nedaňové příjmy",23853770
"00244732","2007/12","Daňové příjmy",1164135290
"00244732","2007/12","Kapitálové příjmy",53459270
"00244732","2007/12","Nedaňové příjmy",343411140
"00245551","2007/12","Daňové příjmy",43636110
"00245551","2007/12","Kapitálové příjmy",254430
"00245551","2007/12","Nedaňové příjmy",29051850
"00245585","2007/12","Daňové příjmy",78185330
"00245585","2007/12","Kapitálové příjmy",12411110
"00245585","2007/12","Nedaňové příjmy",16345500
"00245836","2007/12","Daňové příjmy",155389440
"00245836","2007/12","Kapitálové příjmy",30959940
"00245836","2007/12","Nedaňové příjmy",40380740
"00245941","2007/12","Daňové příjmy",77384640
"00245941","2007/12","Kapitálové příjmy",6814340
"00245941","2007/12","Nedaňové příjmy",20212340
"00246476","2007/12","Daňové příjmy",81243080
"00246476","2007/12","Kapitálové příjmy",13612580
"00246476","2007/12","Nedaňové příjmy",14509880
"00246875","2007/12","Daňové příjmy",249109410
"00246875","2007/12","Kapitálové příjmy",34661080
"00246875","2007/12","Nedaňové příjmy",86891840
"00247618","2007/12","Daňové příjmy",105542190
"00247618","2007/12","Kapitálové příjmy",23562330
"00247618","2007/12","Nedaňové příjmy",93088600
"00248266","2007/12","Daňové příjmy",118008810
"00248266","2007/12","Kapitálové příjmy",11548540
"00248266","2007/12","Nedaňové příjmy",33329620
"00248789","2007/12","Daňové příjmy",55787540
"00248789","2007/12","Kapitálové příjmy",2706450
"00248789","2007/12","Nedaňové příjmy",20076610
"00248801","2007/12","Daňové příjmy",180459060
"00248801","2007/12","Kapitálové příjmy",27427620
"00248801","2007/12","Nedaňové příjmy",89343930
"00249831","2007/12","Daňové příjmy",92481340
"00249831","2007/12","Kapitálové příjmy",50000
"00249831","2007/12","Nedaňové příjmy",11336940
"00249998","2007/12","Daňové příjmy",365816800
"00249998","2007/12","Kapitálové příjmy",174759660
"00249998","2007/12","Nedaňové příjmy",183371850
"00250627","2007/12","Daňové příjmy",135988470
"00250627","2007/12","Kapitálové příjmy",13656370
"00250627","2007/12","Nedaňové příjmy",41361870
"00250805","2007/12","Daňové příjmy",78877660
"00250805","2007/12","Kapitálové příjmy",18530160
"00250805","2007/12","Nedaňové příjmy",18386870
"00250996","2007/12","Daňové příjmy",65956340
"00250996","2007/12","Kapitálové příjmy",3118960
"00250996","2007/12","Nedaňové příjmy",11585080
"00251810","2007/12","Daňové příjmy",264792310
"00251810","2007/12","Kapitálové příjmy",26241080
"00251810","2007/12","Nedaňové příjmy",65389350
"00251984","2007/12","Daňové příjmy",67388300
"00251984","2007/12","Kapitálové příjmy",13014850
"00251984","2007/12","Nedaňové příjmy",16791820
"00252921","2007/12","Daňové příjmy",69480300
"00252921","2007/12","Kapitálové příjmy",497700
"00252921","2007/12","Nedaňové příjmy",18882160
"00253014","2007/12","Daňové příjmy",423244500
"00253014","2007/12","Kapitálové příjmy",56382000
"00253014","2007/12","Nedaňové příjmy",184638370
"00253316","2007/12","Daňové příjmy",140230530
"00253316","2007/12","Kapitálové příjmy",8559990
"00253316","2007/12","Nedaňové příjmy",58137380
"00253383","2007/12","Daňové příjmy",58172300
"00253383","2007/12","Kapitálové příjmy",5294790
"00253383","2007/12","Nedaňové příjmy",8580400
"00253901","2007/12","Daňové příjmy",128810050
"00253901","2007/12","Kapitálové příjmy",19416440
"00253901","2007/12","Nedaňové příjmy",30109910
"00253979","2007/12","Daňové příjmy",376876030
"00253979","2007/12","Kapitálové příjmy",33952010
"00253979","2007/12","Nedaňové příjmy",116842400
"00254061","2007/12","Daňové příjmy",174996920
"00254061","2007/12","Kapitálové příjmy",46892920
"00254061","2007/12","Nedaňové příjmy",52715580
"00254657","2007/12","Daňové příjmy",669069120
"00254657","2007/12","Kapitálové příjmy",15582520
"00254657","2007/12","Nedaňové příjmy",76794520
"00254843","2007/12","Daňové příjmy",172744470
"00254843","2007/12","Kapitálové příjmy",13225900
"00254843","2007/12","Nedaňové příjmy",76327920
"00255513","2007/12","Daňové příjmy",57271900
"00255513","2007/12","Kapitálové příjmy",11160600
"00255513","2007/12","Nedaňové příjmy",24673560
"00255661","2007/12","Daňové příjmy",231553230
"00255661","2007/12","Kapitálové příjmy",6860070
"00255661","2007/12","Nedaňové příjmy",72231210
"00256129","2007/12","Daňové příjmy",124522930
"00256129","2007/12","Kapitálové příjmy",389530
"00256129","2007/12","Nedaňové příjmy",58708360
"00256455","2007/12","Daňové příjmy",37683670
"00256455","2007/12","Kapitálové příjmy",7537010
"00256455","2007/12","Nedaňové příjmy",5957370
"00256986","2007/12","Daňové příjmy",35849570
"00256986","2007/12","Kapitálové příjmy",4341660
"00256986","2007/12","Nedaňové příjmy",25476670
"00257125","2007/12","Daňové příjmy",66217400
"00257125","2007/12","Kapitálové příjmy",14719570
"00257125","2007/12","Nedaňové příjmy",21170590
"00257265","2007/12","Daňové příjmy",38459270
"00257265","2007/12","Kapitálové příjmy",448440
"00257265","2007/12","Nedaňové příjmy",16483760
"00257966","2007/12","Daňové příjmy",35251430
"00257966","2007/12","Kapitálové příjmy",6801130
"00257966","2007/12","Nedaňové příjmy",10124120
"00258199","2007/12","Daňové příjmy",68633780
"00258199","2007/12","Kapitálové příjmy",5500730
"00258199","2007/12","Nedaňové příjmy",12380450
"00259047","2007/12","Daňové příjmy",174508180
"00259047","2007/12","Kapitálové příjmy",41919460
"00259047","2007/12","Nedaňové příjmy",49763670
"00259438","2007/12","Daňové příjmy",61950250
"00259438","2007/12","Kapitálové příjmy",9011350
"00259438","2007/12","Nedaňové příjmy",14290490
"00259586","2007/12","Daňové příjmy",244249690
"00259586","2007/12","Kapitálové příjmy",15827030
"00259586","2007/12","Nedaňové příjmy",114140470
"00260177","2007/12","Daňové příjmy",81258180
"00260177","2007/12","Kapitálové příjmy",3665640
"00260177","2007/12","Nedaňové příjmy",17498290
"00260231","2007/12","Daňové příjmy",129992780
"00260231","2007/12","Kapitálové příjmy",14889390
"00260231","2007/12","Nedaňové příjmy",27189710
"00260428","2007/12","Daňové příjmy",409871580
"00260428","2007/12","Kapitálové příjmy",33495420
"00260428","2007/12","Nedaňové příjmy",72232220
"00260771","2007/12","Daňové příjmy",130734500
"00260771","2007/12","Kapitálové příjmy",12049060
"00260771","2007/12","Nedaňové příjmy",7506410
"00261238","2007/12","Daňové příjmy",589342070
"00261238","2007/12","Kapitálové příjmy",46266920
"00261238","2007/12","Nedaňové příjmy",33899730
"00261602","2007/12","Daňové příjmy",117427340
"00261602","2007/12","Kapitálové příjmy",18722170
"00261602","2007/12","Nedaňové příjmy",24828110
"00261718","2007/12","Daňové příjmy",160605290
"00261718","2007/12","Kapitálové příjmy",24171150
"00261718","2007/12","Nedaňové příjmy",33927960
"00261891","2007/12","Daňové příjmy",572964750
"00261891","2007/12","Kapitálové příjmy",55670160
"00261891","2007/12","Nedaňové příjmy",64673140
"00261912","2007/12","Daňové příjmy",232426910
"00261912","2007/12","Kapitálové příjmy",47801490
"00261912","2007/12","Nedaňové příjmy",21320960
"00262340","2007/12","Daňové příjmy",501284490
"00262340","2007/12","Kapitálové příjmy",30774650
"00262340","2007/12","Nedaňové příjmy",174871170
"00262587","2007/12","Daňové příjmy",68273280
"00262587","2007/12","Kapitálové příjmy",5161700
"00262587","2007/12","Nedaňové příjmy",13858520
"00262633","2007/12","Daňové příjmy",62100280
"00262633","2007/12","Kapitálové příjmy",2536560
"00262633","2007/12","Nedaňové příjmy",24574090
"00262781","2007/12","Daňové příjmy",77886610
"00262781","2007/12","Kapitálové příjmy",8902460
"00262781","2007/12","Nedaňové příjmy",17491090
"00262978","2007/12","Daňové příjmy",1189955800
"00262978","2007/12","Kapitálové příjmy",346468980
"00262978","2007/12","Nedaňové příjmy",105937200
"00263958","2007/12","Daňové příjmy",255373410
"00263958","2007/12","Kapitálové příjmy",77470030
"00263958","2007/12","Nedaňové příjmy",37479200
"00263991","2007/12","Daňové příjmy",92109210
"00263991","2007/12","Kapitálové příjmy",95027450
"00263991","2007/12","Nedaňové příjmy",29101480
"00264334","2007/12","Daňové příjmy",137119340
"00264334","2007/12","Nedaňové příjmy",36006980
"00265209","2007/12","Daňové příjmy",191129880
"00265209","2007/12","Kapitálové příjmy",8895070
"00265209","2007/12","Nedaňové příjmy",40204460
"00265365","2007/12","Daňové příjmy",59881490
"00265365","2007/12","Kapitálové příjmy",45522380
"00265365","2007/12","Nedaňové příjmy",8195310
"00265781","2007/12","Daňové příjmy",204672510
"00265781","2007/12","Kapitálové příjmy",76596970
"00265781","2007/12","Nedaňové příjmy",49594560
"00266027","2007/12","Daňové příjmy",302696070
"00266027","2007/12","Kapitálové příjmy",78403270
"00266027","2007/12","Nedaňové příjmy",48370320
"00266094","2007/12","Daňové příjmy",772232840
"00266094","2007/12","Kapitálové příjmy",43360460
"00266094","2007/12","Nedaňové příjmy",145034790
"00266230","2007/12","Daňové příjmy",160802100
"00266230","2007/12","Kapitálové příjmy",6687240
"00266230","2007/12","Nedaňové příjmy",74049150
"00266621","2007/12","Daňové příjmy",632868490
"00266621","2007/12","Kapitálové příjmy",15532360
"00266621","2007/12","Nedaňové příjmy",63478360
"00267449","2007/12","Daňové příjmy",277759010
"00267449","2007/12","Kapitálové příjmy",57389910
"00267449","2007/12","Nedaňové příjmy",88137360
"00267538","2007/12","Daňové příjmy",86876030
"00267538","2007/12","Kapitálové příjmy",8134250
"00267538","2007/12","Nedaňové příjmy",11426400
"00268321","2007/12","Daňové příjmy",66085570
"00268321","2007/12","Kapitálové příjmy",1794350
"00268321","2007/12","Nedaňové příjmy",10790230
"00268810","2007/12","Daňové příjmy",1187215940
"00268810","2007/12","Kapitálové příjmy",330519470
"00268810","2007/12","Nedaňové příjmy",330992740
"00269247","2007/12","Daňové příjmy",70012540
"00269247","2007/12","Kapitálové příjmy",10748170
"00269247","2007/12","Nedaňové příjmy",26004300
"00270059","2007/12","Daňové příjmy",106675310
"00270059","2007/12","Kapitálové příjmy",4039020
"00270059","2007/12","Nedaňové příjmy",31912550
"00270211","2007/12","Daňové příjmy",247972990
"00270211","2007/12","Kapitálové příjmy",8432930
"00270211","2007/12","Nedaňové příjmy",32050270
"00271560","2007/12","Daňové příjmy",81139320
"00271560","2007/12","Kapitálové příjmy",3911740
"00271560","2007/12","Nedaňové příjmy",20520880
"00271632","2007/12","Daňové příjmy",215398280
"00271632","2007/12","Kapitálové příjmy",175305880
"00271632","2007/12","Nedaňové příjmy",38294740
"00271888","2007/12","Daňové příjmy",79460770
"00271888","2007/12","Kapitálové příjmy",5621090
"00271888","2007/12","Nedaňové příjmy",32338580
"00272523","2007/12","Daňové příjmy",72477400
"00272523","2007/12","Kapitálové příjmy",8681870
"00272523","2007/12","Nedaňové příjmy",31524540
"00272728","2007/12","Daňové příjmy",128336630
"00272728","2007/12","Kapitálové příjmy",21562080
"00272728","2007/12","Nedaňové příjmy",50446740
"00272868","2007/12","Daňové příjmy",221470570
"00272868","2007/12","Kapitálové příjmy",29736300
"00272868","2007/12","Nedaňové příjmy",19408920
"00272876","2007/12","Daňové příjmy",94332430
"00272876","2007/12","Kapitálové příjmy",1327490
"00272876","2007/12","Nedaňové příjmy",19287410
"00273571","2007/12","Daňové příjmy",61005800
"00273571","2007/12","Kapitálové příjmy",1384240
"00273571","2007/12","Nedaňové příjmy",20254670
"00274046","2007/12","Daňové příjmy",1053976180
"00274046","2007/12","Kapitálové příjmy",104568360
"00274046","2007/12","Nedaňové příjmy",87076810
"00274101","2007/12","Daňové příjmy",85230720
"00274101","2007/12","Kapitálové příjmy",13490080
"00274101","2007/12","Nedaňové příjmy",12081380
"00274879","2007/12","Daňové příjmy",83371210
"00274879","2007/12","Kapitálové příjmy",4257280
"00274879","2007/12","Nedaňové příjmy",25316610
"00274968","2007/12","Daňové příjmy",59264980
"00274968","2007/12","Kapitálové příjmy",4779480
"00274968","2007/12","Nedaňové příjmy",13390090
"00275336","2007/12","Daňové příjmy",128631810
"00275336","2007/12","Kapitálové příjmy",15718280
"00275336","2007/12","Nedaňové příjmy",48358670
"00275808","2007/12","Daňové příjmy",64423990
"00275808","2007/12","Kapitálové příjmy",5901400
"00275808","2007/12","Nedaňové příjmy",25781090
"00276111","2007/12","Daňové příjmy",81729400
"00276111","2007/12","Kapitálové příjmy",77300
"00276111","2007/12","Nedaňové příjmy",23321810
"00276227","2007/12","Daňové příjmy",186553250
"00276227","2007/12","Kapitálové příjmy",18416350
"00276227","2007/12","Nedaňové příjmy",51779690
"00276944","2007/12","Daňové příjmy",115602290
"00276944","2007/12","Kapitálové příjmy",20049810
"00276944","2007/12","Nedaňové příjmy",73195000
"00277037","2007/12","Daňové příjmy",111592760
"00277037","2007/12","Kapitálové příjmy",3910320
"00277037","2007/12","Nedaňové příjmy",19908330
"00277177","2007/12","Daňové příjmy",98220760
"00277177","2007/12","Kapitálové příjmy",24193720
"00277177","2007/12","Nedaňové příjmy",48173460
"00277444","2007/12","Daňové příjmy",188531990
"00277444","2007/12","Kapitálové příjmy",45096460
"00277444","2007/12","Nedaňové příjmy",66641740
"00277819","2007/12","Daňové příjmy",166988210
"00277819","2007/12","Kapitálové příjmy",29591990
"00277819","2007/12","Nedaňové příjmy",66397850
"00278360","2007/12","Daňové příjmy",331256370
"00278360","2007/12","Kapitálové příjmy",49951810
"00278360","2007/12","Nedaňové příjmy",68889690
"00278475","2007/12","Daňové příjmy",132237730
"00278475","2007/12","Kapitálové příjmy",16087470
"00278475","2007/12","Nedaňové příjmy",19846880
"00278653","2007/12","Daňové příjmy",154295070
"00278653","2007/12","Kapitálové příjmy",25757350
"00278653","2007/12","Nedaňové příjmy",17176120
"00279072","2007/12","Daňové příjmy",42828110
"00279072","2007/12","Kapitálové příjmy",5680970
"00279072","2007/12","Nedaňové příjmy",7287200
"00279102","2007/12","Daňové příjmy",93850270
"00279102","2007/12","Kapitálové příjmy",19853770
"00279102","2007/12","Nedaňové příjmy",31400460
"00279676","2007/12","Daňové příjmy",146274770
"00279676","2007/12","Kapitálové příjmy",27043940
"00279676","2007/12","Nedaňové příjmy",20961440
"00279773","2007/12","Daňové příjmy",143346390
"00279773","2007/12","Kapitálové příjmy",17195160
"00279773","2007/12","Nedaňové příjmy",25744540
"00279846","2007/12","Daňové příjmy",65662460
"00279846","2007/12","Kapitálové příjmy",10770250
"00279846","2007/12","Nedaňové příjmy",11959570
"00279943","2007/12","Daňové příjmy",211168370
"00279943","2007/12","Kapitálové příjmy",10328660
"00279943","2007/12","Nedaňové příjmy",51875300
"00279978","2007/12","Daňové příjmy",127386740
"00279978","2007/12","Kapitálové příjmy",24990350
"00279978","2007/12","Nedaňové příjmy",30976540
"00281859","2007/12","Daňové příjmy",82888280
"00281859","2007/12","Kapitálové příjmy",498860
"00281859","2007/12","Nedaňové příjmy",5799090
"00281964","2007/12","Daňové příjmy",93362970
"00281964","2007/12","Kapitálové příjmy",4209450
"00281964","2007/12","Nedaňové příjmy",32798350
"00282481","2007/12","Daňové příjmy",53664370
"00282481","2007/12","Kapitálové příjmy",11773190
"00282481","2007/12","Nedaňové příjmy",12432650
"00282651","2007/12","Daňové příjmy",73915710
"00282651","2007/12","Kapitálové příjmy",6798920
"00282651","2007/12","Nedaňové příjmy",13755090
"00282707","2007/12","Daňové příjmy",77385340
"00282707","2007/12","Kapitálové příjmy",2603710
"00282707","2007/12","Nedaňové příjmy",22893540
"00282979","2007/12","Daňové příjmy",37993640
"00282979","2007/12","Kapitálové příjmy",20101600
"00282979","2007/12","Nedaňové příjmy",13571620
"00283061","2007/12","Daňové příjmy",274850060
"00283061","2007/12","Kapitálové příjmy",4316150
"00283061","2007/12","Nedaňové příjmy",60495100
"00283193","2007/12","Daňové příjmy",64065260
"00283193","2007/12","Kapitálové příjmy",6659630
"00283193","2007/12","Nedaňové příjmy",23128100
"00283347","2007/12","Daňové příjmy",94152320
"00283347","2007/12","Kapitálové příjmy",20410050
"00283347","2007/12","Nedaňové příjmy",33905670
"00283509","2007/12","Daňové příjmy",46396290
"00283509","2007/12","Kapitálové příjmy",26226460
"00283509","2007/12","Nedaňové příjmy",20382700
"00283924","2007/12","Daňové příjmy",955711170
"00283924","2007/12","Kapitálové příjmy",157810950
"00283924","2007/12","Nedaňové příjmy",235751660
"00284165","2007/12","Daňové příjmy",61659470
"00284165","2007/12","Kapitálové příjmy",11500860
"00284165","2007/12","Nedaňové příjmy",23690620
"00284301","2007/12","Daňové příjmy",208319210
"00284301","2007/12","Kapitálové příjmy",41238960
"00284301","2007/12","Nedaňové příjmy",36034650
"00284611","2007/12","Daňové příjmy",47610440
"00284611","2007/12","Kapitálové příjmy",332860
"00284611","2007/12","Nedaňové příjmy",24462830
"00284653","2007/12","Daňové příjmy",42977630
"00284653","2007/12","Kapitálové příjmy",6714740
"00284653","2007/12","Nedaňové příjmy",11304640
"00284891","2007/12","Daňové příjmy",282612580
"00284891","2007/12","Kapitálové příjmy",23305490
"00284891","2007/12","Nedaňové příjmy",95144590
"00285030","2007/12","Daňové příjmy",132558440
"00285030","2007/12","Kapitálové příjmy",13322340
"00285030","2007/12","Nedaňové příjmy",24175930
"00285455","2007/12","Daňové příjmy",116799120
"00285455","2007/12","Kapitálové příjmy",18315790
"00285455","2007/12","Nedaňové příjmy",18903900
"00286010","2007/12","Daňové příjmy",658260980
"00286010","2007/12","Kapitálové příjmy",111992890
"00286010","2007/12","Nedaňové příjmy",161475170
"00286745","2007/12","Daňové příjmy",54246280
"00286745","2007/12","Kapitálové příjmy",6827240
"00286745","2007/12","Nedaňové příjmy",12132340
"00287113","2007/12","Daňové příjmy",87312860
"00287113","2007/12","Kapitálové příjmy",2412670
"00287113","2007/12","Nedaňové příjmy",28771070
"00287172","2007/12","Daňové příjmy",120888820
"00287172","2007/12","Kapitálové příjmy",27390080
"00287172","2007/12","Nedaňové příjmy",31084390
"00287351","2007/12","Daňové příjmy",355948160
"00287351","2007/12","Kapitálové příjmy",5539920
"00287351","2007/12","Nedaňové příjmy",66934640
"00288365","2007/12","Daňové příjmy",26669610
"00288365","2007/12","Kapitálové příjmy",677730
"00288365","2007/12","Nedaňové příjmy",5462040
"00288659","2007/12","Daňové příjmy",524654110
